# server -> client. opcode  handler_va  handler_name (from the handler's own log string)
0x0105  180de5590  receive_eSUB_CMD_SYSTEM_KEEP_ALIVE
0x1801  180ddaaa0  receive_eSUB_CMD_ITEM_MAKE
0x1802  180ddafa0  receive_eSUB_CMD_ITEM_UPGRADE
0x1803  180ddffe0  receive_eSUB_CMD_ITEM_EXCHANGE
0x1804  180de0100  receive_eSUB_CMD_ITEM_DISASSEMBLE
0x1805  180de0cc0  receive_eSUB_CMD_ITEM_SOCKET_EQUIP
0x1806  180de1150  receive_eSUB_CMD_ITEM_SOCKET_ACTIVE
0x1807  180de1550  receive_eSUB_CMD_ITEM_SOCKET_DETACH
0x1808  180e098a0  receive_eSUB_CMD_ITEM_REPAIR
0x1809  180e0a580  receive_eSUB_CMD_ITEM_REPAIR_NPC
0x1810  180e0afc0  receive_eSUB_CMD_ITEM_REPAIR_EQUIP
0x1811  180e0b5b0  receive_eSUB_CMD_ITEM_REPAIR_ALL
0x1812  180e0beb0  receive_eSUB_CMD_ITEM_ENDURANCE
0x1813  180e0c090  receive_eSUB_CMD_ITEM_EVOLUTION
0x1814  180de3010  receive_eSUB_CMD_ITEM_AKASHIC_MAKE
0x1815  180de34e0  receive_eSUB_CMD_ITEM_AKASHIC_DISASSEMBLE
0x1817  180de37f0  receive_eSUB_CMD_ITEM_AKASHIC_COMPOSE
0x1818  180de0840  receive_eSUB_CMD_ITEM_DISASSEMBLE_EX
0x1820  180de1eb0  receive_eSUB_CMD_ITEM_BROACH_EQUIP
0x1821  180de23c0  receive_eSUB_CMD_ITEM_BROACH_ACTIVE
0x1822  180ddbbc0  receive_eSUB_CMD_ITEM_RESTORE
0x1823  180de26e0  receive_eSUB_CMD_ITEM_BROACH_COMPOSE(Peta)
0x1824  180ddbce0  receive_eSUB_CMD_ITEM_UNSEAL
0x1827  180ddbe00  receive_eSUB_CMD_ITEM_RENOVATE
0x1828  180de28e0  receive_eSUB_CMD_ITEM_BROACH_REMOVE
0x1829  180ddbf90  receive_eSUB_CMD_ITEM_REFINE
0x1830  180ddc7d0  receive_eSUB_CMD_ITEM_SOCKET_EXCHANGE
0x1831  180ddc190  receive_eSUB_CMD_ITEM_SOCKET_UPGRADE
0x1832  180ddc3c0  receive_eSUB_CMD_ITEM_SOCKET_EXTRACT
0x1833  180de3a70  receive_eSUB_CMD_ITEM_AKASHIC_COMPOSE_EX
0x1834  180ddcb30  receive_eSUB_CMD_ITEM_AKASHIC_GETINFO_ADD
0x1835  180ddcc10  receive_eSUB_CMD_ITEM_AKASHIC_GETINFO_LOAD
0x1836  180ddce50  receive_eSUB_CMD_ITEM_DYE
0x1837  180ddca20  receive_eSUB_CMD_ITEM_TITLE_CHANGE
0x1840  180ddd9c0  receive_eSUB_CMD_ITEM_JUMPING_CHARACTER
0x1841  180dddc40  receive_eSUB_CMD_ITEM_COSTUME_EXTRACTION
0x1842  180dddfa0  receive_eSUB_CMD_ITEM_COSTUME_MOTION_ADD
0x1843  180dde3e0  receive_eSUB_CMD_ITEM_ADD_SLOT_GESTURE
0x1844  180dde4d0  receive_eSUB_CMD_ITEM_TRANSFER
0x1845  180dde890  receive_eSUB_CMD_ITEM_COSTUME_PRESET_INFO
0x1846  180ddeb00  receive_eSUB_CMD_ITEM_COSTUME_PRESET_SAVE
0x1847  180ddec80  receive_eSUB_CMD_ITEM_COSTUME_PRESET_APPLY
0x1848  180ddf380  receive_eSUB_CMD_ITEM_COSTUME_PRESET_SLOT_ADD
0x1849  180ddf4b0  receive_eSUB_CMD_ITEM_COSTUME_PRESET_NAME_UPDATE
0x1850  180ddf8f0  receive_eSUB_CMD_ITEM_COSTUME_CLOSET_INFO
0x1851  180ddfab0  receive_eSUB_CMD_ITEM_COSTUME_CLOSET_ADD
0x1852  180ddfcb0  receive_eSUB_CMD_ITEM_COSTUME_CLOSET_DELETE
0x1853  180ddfea0  receive_eSUB_CMD_ITEM_COSTUME_CLOSET_FAVORITE
0x1854  180e0c210  ?
0x1855  180e0d000  ?
0x1856  180ddf650  receive_eSUB_CMD_ITEM_COSTUME_PRESET_NAME_UPDATE
0x1857  180e0d280  ?
0x1858  180ddc670  receive_eSUB_CMD_ITEM_OVERCLOCK_BONUS_RATE_LIST
0x1860  180e492a0  ?
0x1861  180e49540  ?
0x1863  180e497b0  ?
0x1864  180e498d0  ?
0x1865  180e49cc0  ?
0x1866  180e49ed0  ?
0x1867  180e4a090  ?
0x1901  180e1e790  receive_eSUB_CMD_FRIEND_LOAD
0x1902  180e1fbb0  receive_eSUB_CMD_FRIEND_LOAD_BLOCKLIST
0x1911  180e1ed60  receive_eSUB_CMD_FRIEND_INVITE
0x1912  180e1ee90  receive_eSUB_CMD_FRIEND_INVITE_REQ
0x1913  180e1f130  receive_eSUB_CMD_FRIEND_INVITE_ACCEPT
0x1914  180e1f570  receive_eSUB_CMD_FRIEND_ADD
0x1915  180e1f930  receive_eSUB_CMD_FRIEND_DELETE
0x1921  180e1fc80  receive_eSUB_CMD_FRIEND_BLOCK_ADD
0x1922  180e1fea0  receive_eSUB_CMD_FRIEND_BLOCK_DEL
